date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-05-23,38.5696,37.2221,-1.3475,1.3475,42.3888,3.8192,3.8192,42.1274,3.5578,3.5578,33.8273,-4.7423,4.7423
2025-05-24,35.1112,38.5696,3.4583,3.4583,35.75,0.6388,0.6388,42.8139,7.7026,7.7026,34.8479,-0.2633,0.2633
2025-05-25,28.5275,35.1112,6.5837,6.5837,39.2083,10.6808,10.6808,39.1104,10.5829,10.5829,32.0634,3.5359,3.5359
2025-05-26,34.8054,28.5275,-6.2779,6.2779,46.7083,11.9029,11.9029,33.9342,-0.8712,0.8712,32.1518,-2.6537,2.6537
2025-05-27,69.1112,34.8054,-34.3058,34.3058,55.2917,-13.8196,13.8196,39.9056,-29.2056,29.2056,39.3298,-29.7815,29.7815
2025-05-28,69.0558,69.1112,0.0554,0.0554,41.8608,-27.195,27.195,67.7532,-1.3026,1.3026,55.2944,-13.7614,13.7614
2025-05-29,30.7358,69.0558,38.32,38.32,37.2221,6.4863,6.4863,62.794,32.0581,32.0581,54.5981,23.8623,23.8623
2025-05-30,30.8471,30.7358,-0.1113,0.1113,38.5696,7.7225,7.7225,32.6552,1.8081,1.8081,33.4785,2.6314,2.6314
2025-05-31,38.5417,30.8471,-7.6946,7.6946,35.1112,-3.4304,3.4304,38.835,0.2933,0.2933,35.632,-2.9097,2.9097
2025-06-01,28.5971,38.5417,9.9446,9.9446,28.5275,-0.0696,0.0696,42.1561,13.559,13.559,39.9795,11.3824,11.3824
2025-06-02,40.6667,28.5971,-12.0696,12.0696,34.8054,-5.8612,5.8612,32.2232,-8.4434,8.4434,37.3445,-3.3222,3.3222
2025-06-03,29.1942,40.6667,11.4725,11.4725,69.1112,39.9171,39.9171,44.6647,15.4706,15.4706,41.7285,12.5343,12.5343
2025-06-04,40.3054,29.1942,-11.1113,11.1113,69.0558,28.7504,28.7504,31.9308,-8.3747,8.3747,32.3084,-7.997,7.997
2025-06-05,47.0279,40.3054,-6.7225,6.7225,30.7358,-16.2921,16.2921,44.1463,-2.8816,2.8816,37.775,-9.2529,9.2529
2025-06-06,33.4579,47.0279,13.57,13.57,30.8471,-2.6108,2.6108,47.1236,13.6657,13.6657,38.6685,5.2106,5.2106
2025-06-07,33.1529,33.4579,0.305,0.305,38.5417,5.3888,5.3888,35.2296,2.0767,2.0767,33.0509,-0.1021,0.1021
2025-06-08,59.6525,33.1529,-26.4996,26.4996,28.5971,-31.0554,31.0554,37.5833,-22.0692,22.0692,34.3314,-25.3211,25.3211
2025-06-09,39.25,59.6525,20.4025,20.4025,40.6667,1.4167,1.4167,59.2017,19.9517,19.9517,40.3505,1.1005,1.1005
2025-06-10,33.3196,39.25,5.9304,5.9304,29.1942,-4.1254,4.1254,37.4223,4.1027,4.1027,33.2732,-0.0464,0.0464
2025-06-11,41.1942,33.3196,-7.8746,7.8746,40.3054,-0.8888,0.8888,37.7179,-3.4762,3.4762,32.7808,-8.4134,8.4134
2025-06-12,54.965,41.1942,-13.7708,13.7708,47.0279,-7.9371,7.9371,43.6655,-11.2995,11.2995,38.6393,-16.3257,16.3257
2025-06-13,26.9238,54.965,28.0413,28.0413,33.4579,6.5342,6.5342,53.6764,26.7527,26.7527,40.8434,13.9196,13.9196
2025-06-14,41.3887,26.9238,-14.465,14.465,33.1529,-8.2358,8.2358,28.063,-13.3257,13.3257,28.7259,-12.6629,12.6629
2025-06-15,50.3333,41.3887,-8.9446,8.9446,59.6525,9.3192,9.3192,45.9837,-4.3497,4.3497,40.7606,-9.5727,9.5727
